ZIP,IDT1RWAJR,EXTRA,TFRA,IDNCCONR,STNAME,EQCDIVNTINC,INSDATE,BKPREM,SZLNCON,INTAN,NTRENRSR,OBSDIR,OFFOA,P9LTOT,NTALLOTHR,IGLSEC,EEFFR,IDT1CER,NAMEHCR,NTREMULR,DEPDOM,IBEFXTR,INTINCY,EQV,NETINC,LNLSDEPR,FDICSUPVDESC,MUTUAL,OFFFOR,NAASSET,NTLNLSR,DEPUNINS,DEPNIDOM,RSSDHCR,LNATRESR,ASDROTH,SZLNRES,CERT,STALP,NTCOMRER,EINTEXP,DEPCSBQ,COREDEP,MSA_NAME,CALLFORM,RSSDID,CBLRIND,SC,QBPRCOMLDESC,ELNANTR,ENDEFYMD,NPERFV,LNRESNCR,CB,REGAGNT,NUMEMP,ASSET,NCREMULR,NCRECONR,STCNTY,NALTOT,IDLNCORR,SPECGRPDESC,SZLAUTO,CITY,P9ASSET,STMULT,P3ASSET,DEPALLEX,LIAB,ITAX,TRADE,NIMY,INSAGNT1,DEPINS,BKCLASS,NOIJ,NOIJY,IDNCCIR,EFFDATE,LSAORE,ELNATR,NTRER,INTINC,NETINBM,EQCSTKRX,UC,LSALNLS,NTLNLS,FLDOFF,ERNASTR,NCLNLSR,LNLSNET,LNNDEPC,LNNDEPD,DEPFOR,NCRENRER,PARCERT,ROA,P3LTOT,RISDATE,EQCDIV,ROEINJR,ROE,SZLNHEL,OCCDISTDESC,EQ,NAME,HCTMULT,SZLNCRCD,NONIXAY,SZLNOTH,FREPO,FDICDBSDESC,CHBAL,LSAOA,OFFDOM,SUBCHAPS,ASDRRES,NCRER,AOAR,ORE,ACTIVE,NTRECOSR,NCRERESR,DEPIDOM,REPDTE,IDNTCIR,INTEXPY,RBC1AAJ,NTRERESR,ASTEMPM,AOA,ROAPTX,PTAXNETINC,DEPDASTR,NCCOMRER,DEPBEFEX,FEDDESC,NONIIAY,IDNTCONR,ELNATRY,NONIX,LNLSNTV,DEP,CBSA,IDNCOTHR,NIM,RBCRWAJ,SZLNCI,LSASCDBT,IDNCGTPR,NAMEFULL,IDERNCVR,NFAA,ESTYMD,NONII,TRUST,EQTOT,ID
"2114","14.71672288702669","0","23136193000","0","MASSACHUSETTS","80.16","19340101","3902000","0","8632000","0","3494977000","0","","0","3000","66.12404143683574","14.71672288702669","STATE STREET CORP","0","242086000","1875000","3.6960041645117347","7.069943289224953","1875000","16.002599257617696","WASHINGTON OFFICE - CFI","0","0","293000","0.1735036987222596","247603000","44155000","1111435","0.307433787164162","0","0","14","MA","0","3639000","268341000","226165000","","31","35301","0","107254000","NEW YORK","25.581395348837212","99991231","0.07100964567883282","54.94880546075085","0","FED","48653","412620000","0","0","Suffolk","","23.084031569871556","ALL OTHER OVER 1 BILLION","0","BOSTON","0","1","2000","193797000","383448000","519000","8773000","1.23583237840268","DIF","20738000","SM","1872630","0.9687294962180355","0","20241117","","16000","0","5467000","1875000","0","35960000","","43000","SOUTH BOSTON","75.99","0.5594913021062079","52208000","34435000","29621000","84161000","22.452107279693486","0","0.9699555199953096","","20260630","1503000","2.571369323287482","12.96","0","null","29172000","STATE STREET BANK&TRUST CO","1","0","2.599998103198094","0","9035000","NEW YORK","148953000","","3","0","0","12.783595113438045","0.17900974262032862","0","1","0","0","197931000","20260630","4.156597390043499","2.4601717861090546","5.848240111616511","0","8.480874766201467","73863000","1.2384392079300115","2391000","58.67","0","462138000","BOSTON","2.9","0","0.01","5026000","12.65","326247000","BOSTON-CAMBRIDGE-NEWTON, MA-NH","0","1828000","15.213393552272802","0","","0","STATE STREET BANK AND TRUST COMPANY","55.97674418604651","1158482","17920101","5605000","1","29172000","14_20260630"
"36830","16.255325637243836","0","0","0","ALABAMA","84.29160338468215","19340101","44402","","741","0.29014170633514436","21849","0","","0","0","68.21081671360423","16.255325637243836","AUBURN NATIONAL BCORP INC","0","990462","4609","4.434817362300105","8.37611359241734","4609","57.9243827627915","ATLANTA","0","0","64","0.1323015433443816","380393","261226","1129533","1.134920429773998","","","35","AL","0","5320","991237","908106","","51","749635","0","220744","ATLANTA","-54.85564304461942","99991231","0.005898606638513109","10290.625","1","FED","139","1085002","0","0","Lee","","63.17753654309078","COMMERCIAL LENDING SPECIALIZATION","","AUBURN","0","0","488","0","994121","1245","0","3.3098303144536163","DIF","610844","SM","4609","0.8836210890644302","0","20220831","","-323","0.15029284703799545","20972","4609","0","47278","","381","MONTGOMERY","90.86","0.011028683192459138","573719","","0","","0","0","0.8836210890644302","","20260630","3885","1.5944034383912085","10.15","","null","90881","AUBURNBANK","","","2.275290753963258","","37953","ATLANTA","173476","","7","0","","0.012925402252655262","0.03130593307662106","0","1","0","0.055138190088910334","729236","20260630","0.014241802062687665","1.1249870478464885","10.65409784081409","-0.015700230270043962","7.805769784172662","33967","1.1223080614847416","5854","91.29","0","991237","ATLANTA","0.33","0.22361359570661896","-0.06","11868","52.88","990462","AUBURN-OPELIKA, AL","0","15652","17.24157647659065","","","0","AUBURNBANK","14.517060367454068","0","19070103","1747","0","90881","35_20260630"
"36732","14.855977940391885","0","0","0.5154639175257731","ALABAMA","16.45066889632107","19340101","6317","","0","-0.013744476438531265","0","0","","0.0660774758404229","0","52.38050696847816","14.855977940391885","RBC INC","0","399516","4784","5.4012640382117825","11.034621386671047","4784","77.5781195246248","ATLANTA","0","0","405","-0.020502262723682888","110805","129171","2526755","1.506932461333613","0","0","39","AL","0","2434","399867","370866","","41","430036","0","100920","ATLANTA","0","99991231","0.08753690599184719","1170.8641975308642","1","FDIC","72","462662","0","0","Marengo","","83.57115508027158","COMMERCIAL LENDING SPECIALIZATION","","DEMOPOLIS","0","0","1108","0","411609","307","0","4.290152081737181","DIF","289062","NM","4784","2.041270588536485","0.24154589371980675","20230328","","0","-0.025539280832769733","11832","4784","0","66038","","-32","MONTGOMERY","93.74","0.12870258263182482","309937","","0","","0.013801479518604394","0","2.041270588536485","","20260630","787","16.161902066232663","19.34","","null","51053","ROBERTSON BANKING CO","","","2.389447177216621","0","15302","ATLANTA","16284","","8","1","0","0.11689751866475485","0.030047853508608877","0","1","0","0.39387031408308004","270345","20260630","-0.053702087668658124","1.111111956474601","11.263545591960996","-0.06498091727062819","6.425861111111112","13902","2.172263496287467","5091","86.35","0","399867","ATLANTA","0.55","0.24706609017912293","0","5600","66.99","399516","","0.15175786190034568","9398","16.10806287662232","","","0","ROBERTSON BANKING COMPANY","0","0","18700101","1293","1","51053","39_20260630"
"36867","0","0","0","1.9801980198019802","ALABAMA","0","19340101","1464","","0","0","0","0","","0","-6","65.12908777969018","0","PHENIX-GIRARD BANCSHARES INC","0","323551","1794","4.72174491520361","2.617900478877108","1794","25.096816266987275","ATLANTA","0","0","419","0.04666317375073679","172292","68654","2013246","1.3593294460641399","","","41","AL","0","3112","323632","322785","","51","432432","1","223135","ATLANTA","263.15789473684214","99991231","0.1224219085546326","267.0644391408115","1","FDIC","46","342259","0","0","Russell","","25.156373437427387","OTHER SPECIALIZED UNDER 1 BILLION","","PHENIX CITY","0","0","992","0","333299","202","0","2.8311028441647994","DIF","151340","NM","1799.4","1.0467642744328864","3.5762032085561493","20220831","","24","0","7772","1794","0","19947","","19","MONTGOMERY","95.67","0.5089893100097183","81201","","0","","0","0","1.0436229344962755","","20260630","0","43.88275102939378","43.88","","null","8960","PHENIX-GIRARD BANK","","","2.201264874099168","","0","ATLANTA","26107","","4","1","","0.3894190738487158","0.030246100175598013","0","1","0","1.2215212761682808","254897","20260630","0","1.8906420710388103","11.76470588235294","0","7.440413043478261","10352","1.1611323173102375","2002","94.53","0","323632","ATLANTA","0.67","8.755760368663594","0.01","3784","23.73","323551","COLUMBUS, GA-AL","0","4660","0","","","0","PHENIX-GIRARD BANK","106.63157894736842","0","19040504","1150","1","8960","41_20260630"
"36401","0","0","0","0","ALABAMA","7.722007722007722","19340101","710","","0","0","0","0","","48.888888888888886","-6","73.77873563218391","0","","0","68562","259","4.534657152849377","11.63984586037818","259","45.07598961523876","ATLANTA","0","0","182","0.07017767711888737","14829","23809","","1.6015028018339275","","","49","AL","0","427","68826","62103","","51","560438","1","38774","ATLANTA","0","99991231","0.23812267158274764","270.4301075268817","1","FDIC","12","78111","0","0","Conecuh","","49.76410157319292","ALL OTHER UNDER 1 BILLION","","EVERGREEN","4","0","491","0","69019","100","0","3.3710161647083403","DIF","53997","NM","263.74","0.6830577977295291","0.15339562125226608","20220831","","0","0","1664","259","0","3247","","11","MONTGOMERY","95.24","0.5922058074375955","30905","","0","","0","0","0.670781715371002","","20260630","20","5.313866449269992","5.76","","null","9092","BANK OF EVERGREEN","","","2.6598178443475633","","2200","ATLANTA","3956","","1","0","","0.7909247039681822","0.020048392671966817","0","1","0","1.8037518037518037","44753","20260630","-0.09208103130755065","1.163640988141036","14.246013194119787","0","6.509250000000001","1566","0.929770794664825","365","87.78","0","68826","ATLANTA","0.4","0.28076743097800655","0","1027","39.57","68562","","0","1237","0","","","0","BANK OF EVERGREEN","33.18181818181818","0","19320901","155","0","9092","49_20260630"
"35582","0","0","0","0","ALABAMA","50.737652341244385","19340101","5177","","0","0","0","0","","0","0","66.72416767293427","0","INDEPENDENT BANCSHARES EMPLOYEE STK OWNERSHIP PLAN","0","205693","1559","6.415919318290621","8.087910743238224","1559","72.48472237752378","ATLANTA","0","0","0","0.3400476693966058","37066","49330","3587294","1.2857691441888797","","","50","AL","0","1735","206638","164921","","51","470032","1","45382","ATLANTA","108.69565217391303","99991231","0.030154311411003266","0","1","FDIC","43","228823","0","0","Franklin","","90.40449669841925","COMMERCIAL LENDING SPECIALIZATION","","RED BAY","0","1","282","0","210316","95","0","4.75473143331312","DIF","169572","NM","1559","1.3873624540030167","0","20220831","","275","0","6701","1559","0","12361","","253","SHELBY","93.17","0","149096","","0","","0","0","1.3873624540030167","","20260630","791","8.475729762539777","17.21","","null","18507","COMMUNITY SPIRIT BANK","","","3.442153926929871","","1331","ATLANTA","22048","","6","1","","0","0.02499748714071575","69","1","0","0","156363","20260630","1.837414349695678","1.6611878849774997","9.73127793329324","0","5.32146511627907","5720","1.4719034630667027","1654","89.89","0","206638","ATLANTA","0.74","0.21486419481020333","0.24","3868","65.16","205693","RUSSELLVILLE, AL","0","4966","0","","","0","COMMUNITY SPIRIT BANK","7.624505928853755","0","19080317","831","0","18507","50_20260630"
"35592","0","0","0","0.16675004168751043","ALABAMA","0","19340101","9827","","0","0","0","0","","0","0","48.10584427945936","0","FIRST VERNON BANCSHARES INC","0","373643","2717","6.975654364218001","15.731684315468975","2717","87.75756537657604","ATLANTA","0","0","45","0.09697991451854791","67882","82719","1139998","1.4510350797047438","","","51","AL","0","4486","375022","334543","","51","382537","1","53104","ATLANTA","833.5443037974683","99991231","0.5018457144396842","309.09090909090907","1","FDIC","63","445356","0","0","Lamar","","98.01430608322399","COMMERCIAL LENDING SPECIALIZATION","","VERNON","1517","1","5893","0","375294","1410","0","4.785816332175877","DIF","307140","NM","2717","1.266054789371415","1.5489703666499246","20220831","","1325","0.011032785761688485","14290","2717","0","32993","","158","SHELBY","95.06","0.4694525257868289","327900","","0","","0","0","1.266054789371415","","20260630","0","7.88465630985316","7.88","","null","70062","BANK OF VERNON","","","2.355038978830744","","598","ATLANTA","47837","","5","0","","0","0.012163303065412839","673","1","-0.05300821627352239","0","290924","20260630","0.12851056257970125","2.189838032042124","16.597529298812542","0.03861103245900795","7.069142857142857","5417","1.9230799100978393","4127","83.9","0","375022","ATLANTA","0.33","1.3709699891325549","0.62","5054","73.63","373643","","0","9804","0","","","0","THE BANK OF VERNON","34.50632911392405","0","19111111","702","0","70062","51_20260630"
"35594","0","0","0","0.19962796606324576","ALABAMA","3.930817610062893","19340101","3834","","0","1.1291165708311552","75000","0","","0","0","66.84223126645918","0","CITIZENS BCORP OF WINFIELD INC","0","215178","636","5.714624563776341","9.746730398990906","636","52.166578367677","ATLANTA","0","0","69","0.47170089099057194","59965","25762","1833616","1.0455142502005517","","","52","AL","0","3882","216481","153925","","51","293437","1","144276","ATLANTA","159.1760299625468","99991231","0.21410077673770164","408.9655172413793","1","FDIC","35","301260","0","0.1745559092309272","Marion","","72.92577554003573","OTHER SPECIALIZED UNDER 1 BILLION","","WINFIELD","221","0","1054","0","271897","321","0","2.7759343324106296","DIF","156516","NM","636","0.4290962329263891","0","20220831","","428","0.2761766917100963","7549","636","0","10843","","267","SHELBY","89.02","0.25564850974549747","112251","","0","","0.04967709885742673","0","0.4290962329263891","","20260630","25","4.380242311276794","4.56","","null","29363","CITIZENS BANK OF WINFIELD","","","1.8837054753623874","","0","ATLANTA","13605","","1","0","","0.38072833640289105","0.08942109805483635","355","1","0","0.5760458751466181","189416","20260630","0.06663581675150394","2.9386902313657113","17.507317160762064","0","8.60742857142857","26939","0.6456683882241421","957","71.43","0","216481","ATLANTA","0.34","1.6043784206411258","0.29","2792","37.26","215178","","0","3667","0","","","0","THE CITIZENS BANK OF WINFIELD","5.187265917602996","0","19200522","510","0","29363","52_20260630"
"35952","0","0","0","0.5433526011560693","ALABAMA","17.04355108877722","19340101","3273","","0","0","0","0","","0","0","60.94511813976747","0","GADSDEN CORP THE","0","336397","2388","4.994481016025001","13.5095545133325","2388","61.005300285079834","ATLANTA","0","0","0","0.03901760181561907","101975","132412","1079067","1.265335578542218","","","54","AL","0","2096","337224","298372","","51","672537","1","126823","ATLANTA","250","99991231","0.02343728107159325","2858.695652173913","1","FDIC","68","392537","0","0","Etowah","","68.77991232421273","COMMERCIAL LENDING SPECIALIZATION","","ALTOONA","92","0","540","0","339507","636","0","3.879513265509675","DIF","235249","NM","2388","1.2142403751873947","0","20220831","","100","0.0032860987071027196","9389","2388","0","49088","","40","SHELBY","95.54","0.04426268943949964","205220","","0","","0","0","1.2142403751873947","","20260630","407","7.615520643788923","9.18","","null","53030","EXCHANGE BANK OF ALABAMA","","","2.4788198614064276","","29618","ATLANTA","15978","","5","0","","0.024261899113631955","0.02961504265839908","0","1","0","0.06241071800063797","203985","20260630","0","1.1149677505153268","15.297742539476571","0.008334645268236665","5.772602941176471","11625","1.5376310278754948","3024","85.7","0","337224","ATLANTA","0.36","0.8324271626232705","0.05","4875","52.28","336397","GADSDEN, AL","0","7293","0","","","0","THE EXCHANGE BANK OF ALABAMA","78.1","0","19090310","706","0","53030","54_20260630"
"36502","20.704770059770897","0","0","1.8630440809537012","ALABAMA","0","19340101","15988","","6863","0","0","0","","-0.002001781585611194","0","62.72925889725752","20.704770059770897","UNITED BCORP OF ALABAMA INC","0","1224410","9542","5.697320085883296","14.93157170635438","9542","75.93698189332004","ATLANTA","0","0","12185","0.027150480443078325","592996","530266","1083895","1.3136876338020096","","","58","AL","0","8122","1226993","1112407","","51","994435","0","304227","ATLANTA","592.741935483871","99991231","0.9473180147791336","96.96043869956912","1","FDIC","278","1480601","0","0.07820556297624073","Escambia","","83.58271747660704","COMMERCIAL LENDING SPECIALIZATION","","ATMORE","580","1","3340","0","1259524","2654","0","4.474702411566446","DIF","633997","NM","9542","1.3074797102223756","0.2041649652919559","20240930","","735","-0.00996551017112041","37848","9542","121","270723","","124","MONTGOMERY","91.31","1.354869729779644","929780","","6482","","3.863129184230102","0","1.3074797102223756","","20260630","0","8.80781029331676","8.81","","null","221077","UNITED BANK","","","2.9946519667690232","","59105","ATLANTA","106931","","20","0","","1.7882607484141684","0.038123707872681434","1261","1","-0.019287976913775325","0.8328802527795507","694144","20260630","0.01617896633258225","1.22261767431685","15.787100995163414","-0.02699252644424075","5.3259028776978425","56446","1.6711404889826131","12196","82.7","0","1226993","ATLANTA","0.69","0.8184648841002324","0.1","21855","62.8","1224410","","0.7969025279632893","29726","21.862426771121697","","","9.283196239717979","UNITED BANK","104.28225806451613","0","19040104","5060","0","221077","58_20260630"
