"Series Description","Bank credit, all commercial banks, seasonally adjusted","Securities in bank credit, all commercial banks, seasonally adjusted","Loans and leases in bank credit, all commercial banks, seasonally adjusted","Commercial and industrial loans, all commercial banks, seasonally adjusted","Real estate loans, all commercial banks, seasonally adjusted","Consumer loans, all commercial banks, seasonally adjusted","Cash assets, all commercial banks, seasonally adjusted","Deposits, all commercial banks, seasonally adjusted","Large time deposits, all commercial banks, seasonally adjusted","Other deposits, all commercial banks, seasonally adjusted","Total assets, all commercial banks, seasonally adjusted","Total liabilities, all commercial banks, seasonally adjusted","Borrowings, all commercial banks, seasonally adjusted","Other liabilities, all commercial banks, seasonally adjusted"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","H8/H8/B1001NCBA","H8/H8/B1002NCBA","H8/H8/B1020NCBA","H8/H8/B1023NCBA","H8/H8/B1026NCBA","H8/H8/B1029NCBA","H8/H8/B1048NCBA","H8/H8/B1058NCBA","H8/H8/B1072NCBA","H8/H8/B1110NCBA","H8/H8/B1151NCBA","H8/H8/B1152NCBA","H8/H8/B3094NCBA","H8/H8/B3095NCBA"
"Time Period","B1001NCBA","B1002NCBA","B1020NCBA","B1023NCBA","B1026NCBA","B1029NCBA","B1048NCBA","B1058NCBA","B1072NCBA","B1110NCBA","B1151NCBA","B1152NCBA","B3094NCBA","B3095NCBA"
2020-09-09,14977352.1,4450997.7,10526354.4,2786499.6,4676742.2,1511555.5,2895309.2,15652424.5,1588774.0,14063650.6,20106646.5,18076552.3,1791467.4,652582.6
2020-09-16,14965433.0,4453444.2,10511988.8,2766244.4,4679305.2,1511790.5,2946171.4,15730509.0,1585926.2,14144582.7,20201497.8,18166174.1,1755752.8,670809.9
2020-09-23,14970045.9,4466637.6,10503408.2,2753138.2,4679996.2,1510937.3,2976551.6,15714807.4,1585872.5,14128934.9,20200780.8,18162077.2,1779510.9,666271.4
2020-09-30,14969932.3,4481423.9,10488508.3,2725210.4,4685329.8,1514614.0,2905447.0,15681266.1,1560259.0,14121007.1,20077862.7,18031812.2,1709947.1,624314.0
2020-10-07,14971912.7,4501711.9,10470200.7,2714843.5,4684223.0,1513733.1,2936318.2,15691198.6,1555632.8,14135565.8,20154125.8,18102973.4,1764617.9,662296.1
2020-10-14,14966741.6,4520135.0,10446606.7,2702940.0,4670007.4,1514881.6,2987403.4,15794182.3,1553038.0,14241144.3,20203814.9,18134728.5,1728349.1,648984.2
2020-10-21,14978224.0,4531112.6,10447111.4,2704019.5,4671691.1,1516184.5,3039665.6,15794231.7,1545911.3,14248320.4,20219843.3,18148548.7,1753237.3,648869.7
2020-10-28,14981906.6,4560327.0,10421579.6,2688792.3,4664694.3,1515564.2,3035585.4,15829915.9,1535176.1,14294739.8,20228413.1,18158652.7,1744923.3,649684.8
2020-11-04,15016567.4,4609709.6,10406857.8,2661244.7,4665949.7,1517000.5,3048692.9,15880488.9,1520656.5,14359832.4,20262316.9,18199863.1,1726508.3,649188.0
2020-11-11,15024999.9,4604926.7,10420073.1,2653427.0,4668976.2,1516564.4,3003792.8,15878189.8,1524935.7,14353254.2,20227343.8,18159606.5,1708081.0,641483.0
2020-11-18,15027998.6,4644479.3,10383519.3,2637178.5,4655290.3,1514567.4,3043778.3,15901644.5,1517629.3,14384015.2,20258964.4,18191938.6,1728972.9,642874.2
2020-11-25,15024221.8,4661687.4,10362534.5,2625184.1,4646480.3,1515459.3,3120415.1,15979960.2,1516411.2,14463548.9,20364184.0,18298865.6,1733276.4,667967.0
2020-12-02,15036777.6,4688254.8,10348522.8,2616857.1,4640997.1,1514111.0,3068728.4,15970471.7,1510783.7,14459688.1,20315381.1,18224553.7,1715291.3,669932.5
